datetime,date,open,high,low,close,volume,symbol
2019-09-19 09:01:00+09:00,2019-09-19,17150,17150,17150,17150,131,001080
2019-09-19 09:01:00+09:00,2019-09-19,2245,2245,2245,2245,163,264850
2019-09-19 09:01:00+09:00,2019-09-19,16950,16950,16950,16950,23,288620
2019-09-19 09:01:00+09:00,2019-09-19,20250,20400,20250,20400,137,023590
2019-09-19 09:01:00+09:00,2019-09-19,8650,8650,8650,8650,13,214390
2019-09-19 09:01:00+09:00,2019-09-19,87400,88200,87400,88200,497,098460
2019-09-19 09:01:00+09:00,2019-09-19,1920,1925,1920,1925,689,131180
2019-09-19 09:04:00+09:00,2019-09-19,30900,31500,30900,31500,302,007340
2019-09-19 09:01:00+09:00,2019-09-19,199500,199500,197000,197000,1055,018260
2019-09-19 09:01:00+09:00,2019-09-19,9120,9120,9120,9120,112,258830
2019-09-19 09:01:00+09:00,2019-09-19,3295,3310,3295,3295,11748,047770
2019-09-19 09:13:00+09:00,2019-09-19,83600,83600,83600,83600,1,058650
2019-09-19 09:01:00+09:00,2019-09-19,3665,3670,3665,3670,746,015750
2019-09-19 09:01:00+09:00,2019-09-19,3100,3100,3100,3100,824,010600
2019-09-19 09:01:00+09:00,2019-09-19,11500,11500,11500,11500,2,238120
2019-09-19 09:01:00+09:00,2019-09-19,17200,17250,17200,17250,2529,002210
2019-09-19 09:01:00+09:00,2019-09-19,6620,6640,6610,6610,3708,060480
2019-09-19 09:01:00+09:00,2019-09-19,2475,2485,2475,2485,6683,008700
2019-09-19 09:01:00+09:00,2019-09-19,4195,4205,4195,4205,2152,093520
2019-09-19 09:01:00+09:00,2019-09-19,9900,9990,9820,9900,1901,153710
2019-09-19 09:01:00+09:00,2019-09-19,5780,5800,5760,5800,1356,101730
2019-09-19 09:01:00+09:00,2019-09-19,2270,2275,2270,2270,33720,900250
2019-09-19 09:01:00+09:00,2019-09-19,58500,58500,58500,58500,17,004890
2019-09-19 09:01:00+09:00,2019-09-19,501,502,501,502,397,222810
2019-09-19 09:01:00+09:00,2019-09-19,26750,26750,26700,26750,742,255440
2019-09-19 09:01:00+09:00,2019-09-19,4460,4460,4450,4450,494,019180
2019-09-19 09:01:00+09:00,2019-09-19,5790,5790,5790,5790,65,071200
2019-09-19 09:01:00+09:00,2019-09-19,9930,9930,9850,9850,364,214420
2019-09-19 09:01:00+09:00,2019-09-19,18400,18650,18400,18400,4122,290720
2019-09-19 09:01:00+09:00,2019-09-19,6310,6310,6310,6310,2,210120
2019-09-19 09:01:00+09:00,2019-09-19,3825,3835,3825,3835,41,067310
2019-09-19 09:01:00+09:00,2019-09-19,201000,201000,200500,201000,216,282330
2019-09-19 09:01:00+09:00,2019-09-19,1490,1490,1460,1465,80919,009620
2019-09-19 09:01:00+09:00,2019-09-19,2940,2940,2940,2940,203,012200
2019-09-19 09:01:00+09:00,2019-09-19,109000,109000,108500,108500,81,192400
2019-09-19 09:01:00+09:00,2019-09-19,4940,4940,4900,4900,5224,004310
2019-09-19 09:01:00+09:00,2019-09-19,7510,7510,7510,7510,68,080010
2019-09-19 09:08:00+09:00,2019-09-19,3440,3440,3440,3440,1,053260
2019-09-19 09:01:00+09:00,2019-09-19,11800,11800,11800,11800,518,005740
2019-09-19 09:01:00+09:00,2019-09-19,2550,2570,2550,2570,9306,232140
2019-09-19 09:03:00+09:00,2019-09-19,8040,8040,8040,8040,1,101240
